,keras,torch
0,conv2d_1/kernel:0,conv1.weight
1,conv2d_1/bias:0,conv1.bias
2,batch_normalization_1/gamma:0,block1.bn1.weight
3,batch_normalization_1/beta:0,block1.bn1.bias
4,batch_normalization_1/moving_mean:0,block1.bn1.running_mean
5,batch_normalization_1/moving_variance:0,block1.bn1.running_var
6,,block1.bn1.num_batches_tracked
7,conv2d_2/kernel:0,block1.conv1.weight
8,conv2d_2/bias:0,block1.conv1.bias
9,batch_normalization_2/gamma:0,block1.bn2.weight
10,batch_normalization_2/beta:0,block1.bn2.bias
11,batch_normalization_2/moving_mean:0,block1.bn2.running_mean
12,batch_normalization_2/moving_variance:0,block1.bn2.running_var
13,,block1.bn2.num_batches_tracked
14,conv2d_3/kernel:0,block1.conv2.weight
15,conv2d_3/bias:0,block1.conv2.bias
16,conv2d_4/kernel:0,block1.downsample.weight
17,conv2d_4/bias:0,block1.downsample.bias
18,batch_normalization_3/gamma:0,block2.bn1.weight
19,batch_normalization_3/beta:0,block2.bn1.bias
20,batch_normalization_3/moving_mean:0,block2.bn1.running_mean
21,batch_normalization_3/moving_variance:0,block2.bn1.running_var
22,,block2.bn1.num_batches_tracked
23,conv2d_5/kernel:0,block2.conv1.weight
24,conv2d_5/bias:0,block2.conv1.bias
25,batch_normalization_4/gamma:0,block2.bn2.weight
26,batch_normalization_4/beta:0,block2.bn2.bias
27,batch_normalization_4/moving_mean:0,block2.bn2.running_mean
28,batch_normalization_4/moving_variance:0,block2.bn2.running_var
29,,block2.bn2.num_batches_tracked
30,conv2d_6/kernel:0,block2.conv2.weight
31,conv2d_6/bias:0,block2.conv2.bias
32,conv2d_7/kernel:0,block2.downsample.weight
33,conv2d_7/bias:0,block2.downsample.bias
34,batch_normalization_5/gamma:0,block3.bn1.weight
35,batch_normalization_5/beta:0,block3.bn1.bias
36,batch_normalization_5/moving_mean:0,block3.bn1.running_mean
37,batch_normalization_5/moving_variance:0,block3.bn1.running_var
38,,block3.bn1.num_batches_tracked
39,conv2d_8/kernel:0,block3.conv1.weight
40,conv2d_8/bias:0,block3.conv1.bias
41,batch_normalization_6/gamma:0,block3.bn2.weight
42,batch_normalization_6/beta:0,block3.bn2.bias
43,batch_normalization_6/moving_mean:0,block3.bn2.running_mean
44,batch_normalization_6/moving_variance:0,block3.bn2.running_var
45,,block3.bn2.num_batches_tracked
46,conv2d_9/kernel:0,block3.conv2.weight
47,conv2d_9/bias:0,block3.conv2.bias
48,conv2d_10/kernel:0,block3.downsample.weight
49,conv2d_10/bias:0,block3.downsample.bias
50,dense_2/kernel:0,coll.weight
51,dense_2/bias:0,coll.bias
52,dense_1/kernel:0,steer.weight
53,dense_1/bias:0,steer.bias
